Nro,Grupo,Cuerpo Policial/Militar,Parroquia/Municipio,Centro Transitorio,Texto para Copiar y Pegar en Google Maps,maps,coordendas
1,Área Metropolitana,Guardia Nacional Bolivariana,Parroquia Coche,UEN Pedro Emilio Coll,"Av. Intercomunal de El Valle, Caracas 1090, Distrito Capital, Venezuela",https://maps.app.goo.gl/1uVd97ssd5M5Vc8A8,"10.450836,-66.9226658"
2,Área Metropolitana,Guardia Nacional Bolivariana,Parroquia Sta Teresa,UEN Francisco Pimentel,"UEN Francisco Pimentel, Santa Teresa, Caracas",https://maps.app.goo.gl/y76dwLXtBxFXoEz78,"10.4965636,-66.9181513"
3,Área Metropolitana,Guardia Nacional Bolivariana,Parroquia Sta Rosalia,UEN Gran Colombia,"UEN Gran Colombia, Santa Rosalia, Caracas",https://maps.app.goo.gl/GMUX4cK9qhdUwVaf7,"10.4778598,-66.9097427"
4,Área Metropolitana,Guardia Nacional Bolivariana,Parroquia El Valle,Liceo Jose Avalos,"Liceo Jose Avalos, El Valle, Caracas",https://maps.app.goo.gl/ZnaMdzcAk8kynK1D9,"10.4631037,-66.9110191"
5,Área Metropolitana,Guardia Nacional Bolivariana,Parroquia El Valle,EBN Dr. Guillermo Delgado Palacios,"EBN Dr. Guillermo Delgado Palacios, El Valle, Caracas",https://maps.app.goo.gl/8WiZzk8bdAUmgp8H8,"10.4591595,-66.9196226"
6,Área Metropolitana,Guardia Nacional Bolivariana,Parroquia El Valle,Liceo Judith Liendo,"Liceo Judith Liendo, El Valle, Caracas",https://maps.app.goo.gl/t2BQ3EumprJdv9rd9,"10.4579163,-66.9160923"
7,Área Metropolitana,Guardia Nacional Bolivariana,Parroquia El Valle,"UEN Generala Manuela Sáenz, Fuerte Tiuna","UEN Generala Manuela Saenz, Fuerte Tiuna, Caracas",https://maps.app.goo.gl/XxDFiGyu85a8YtRbA,"10.4571849,-66.9140017"
8,Área Metropolitana,Guardia Nacional Bolivariana,Parroquia San Pedro,Liceo Leopoldo Aguerevere,"Liceo Leopoldo Aguerrevere, San Pedro, Caracas",https://maps.app.goo.gl/3Pbevsd6JNLzk7BM6,"10.4860178,-66.8892057"
9,Área Metropolitana,SEBIN,Parroquia Petare,ETI Leonardo Infante,"ETI Leonardo Infante, Petare, Caracas",https://maps.app.goo.gl/LEj726jkDxRGSm8m8,"10.4823524,-66.8163462"
10,Área Metropolitana,SEBIN,Parroquia Petare,CEN Mariano Picón Salas,"CEN Mariano Picon Salas, Petare, Caracas",https://maps.app.goo.gl/rCtyHSqadxT9PuK8A,"10.4800315,-66.8111068"
11,Área Metropolitana,SEBIN,Parroquia El Recreo,UE Jesús Enrique Lossada,"UE Jesus Enrique Lossada, El Recreo, Caracas",https://maps.app.goo.gl/UHJf4nMUKKtPPeBs9,"10.5040791,-66.8694744"
12,Área Metropolitana,SEBIN,Parroquia La Pastora,UE Cesar Rengifo,"UE Cesar Rengifo, La Pastora, Caracas",https://maps.app.goo.gl/TwPtQwQ52QzMbwCT9,"10.5230097,-66.9314946"
13,Área Metropolitana,DGCIM,Parroquia San José,UEN Armando Zuluaga,"UEN Armando Zuluaga, San Jose, Caracas",https://maps.app.goo.gl/rnCv4nMd8Hf7Hise6,"10.511677,-66.9109918"
14,Área Metropolitana,CICPC,Parroquia Sucre,CE Miguel Antonio Caro,"CE Miguel Antonio Caro, Sucre, Catia, Caracas",https://maps.app.goo.gl/xnq1KG8Hoe6h8wvD7,"10.515453,-66.9402261"
15,Área Metropolitana,CICPC,Parroquia Sucre,ETI Rafael Vega,"ETI Rafael Vega, Sucre, Catia, Caracas",https://maps.app.goo.gl/jPQUKKNaiYn8YvH96,"10.507184,-66.9610755"
16,Área Metropolitana,CICPC,Parroquia Sucre,Liceo Juan Landaeta,"Liceo Juan Landaeta, Sucre, Catia, Caracas",https://maps.app.goo.gl/UVxvB2nYM884jcTM8,"10.5141876,-66.9434291"
17,Área Metropolitana,CICPC,Parroquia Sucre,UE Gervacio Artigas,"UE Gervasio Artigas, Sucre, Catia, Caracas",https://maps.app.goo.gl/ELsweE8RAEs8fpav6,"10.5077415,-66.9597483"
18,Área Metropolitana,CICPC,Parroquia Macarao,Liceo Juan Lovera,"Liceo Juan Lovera, Macarao, Caracas",https://maps.app.goo.gl/zHsb2hQy4chsDbrr5,"10.427611,-67.0178826"
19,Área Metropolitana,CICPC,Parroquia Macarao,CE Claudio Feliciano,"CE Claudio Feliciano, Macarao, Caracas",https://maps.app.goo.gl/TqfpC5YGwwyDGDXW9,"10.4243761,-67.0141994"
20,Área Metropolitana,PNB,Parroquia San Juan,UE Luis Padrino,"UE Luis Padrino, San Juan, Caracas",https://maps.app.goo.gl/PebSGXHfsHb5b1tm8,"10.4908735,-66.9396716"
21,Área Metropolitana,PNB,Parroquia San Bernardino,UEN Vicente Gil,"UEN Vicente Gil, San Bernardino, Caracas",https://maps.app.goo.gl/fbpKEGeGCkpowzc38,"10.5183827,-66.900294"
22,Área Metropolitana,PNB,Parroquia El Paraíso,UEN Pablo Vila,"UEN Pablo Vila, El Paraiso, Caracas",https://maps.app.goo.gl/q9nHhzvFXickGxXEA,"10.4890083,-66.9189933"
23,Área Metropolitana,PNB,Parroquia La Pastora,Liceo Agustín Aveledo,"Liceo Agustin Aveledo, La Pastora, Caracas",https://maps.app.goo.gl/xcGphJhVjiDY47gm9,"10.5155281,-66.9210147"
24,Área Metropolitana,PNB,Parroquia La Pastora,UE Jose Ignacio Paz Castillo,"UE Jose Ignacio Paz Castillo, La Pastora, Caracas",https://maps.app.goo.gl/KQndQ1YsuxZ7qgx56,"10.5196595,-66.9184991"
25,Área Metropolitana,PNB,Parroquia La Vega,UEN Pedro Pontes,"UEN Pedro Fontes, La Vega, Caracas",https://maps.app.goo.gl/GMiXovSY3oPoUXN39,"10.4732674,-66.9495329"
26,Área Metropolitana,PNB,Parroquia El Junquito,UE Luis Hurtado,"UE Luis Hurtado, El Junquito, Caracas",https://maps.app.goo.gl/adAJyBjHFown76Ei6,"10.4854692,-67.0030363"
27,Área Metropolitana,PNB,Parroquia El Paraíso,UEN Eduardo Crema,"UEN Eduardo Crema, El Paraiso, Caracas",https://maps.app.goo.gl/ow2TjmZJgp8XP4f96,"10.4896574,-66.9305174"
28,Área Metropolitana,Poli Baruta,Municipio Baruta,UEN Tito Salas,"UEN Tito Salas, Baruta, Miranda",https://maps.app.goo.gl/hzZ97qUEbKNnskdR6,"10.4384121,-66.7440489"
29,Área Metropolitana,Poli Baruta,Municipio Baruta,UEN Sorocaima,"UEN Sorocaima, Baruta, Miranda",https://maps.app.goo.gl/CC4hXwKPJ6GybxwJA,"10.4391289,-66.871935"
